Playername,Country,Age,Height,Position,Mean Year,Appearances,Goals,,,,,,
Pierre Kogel,Belgium,,,Goalkeeper,1910,1,0,,,,,,
Konrad B&#xFC;lte,Germany,,,Midfielder,1910,1,0,,,,,,
Willi Fick,Germany,,,Forward,1910,1,1,,,,,,
Adalbert Friedrich,Germany,,,Forward,1910,1,0,,,,,,
Arthur Cowell,England,,,Defender,1910,1,0,,,,,,
Billy Hibbert,England,,,Forward,1910,1,0,,,,,,
Bert Morley,England,,,Defender,1910,1,0,,,,,,
Jack Parkinson (footballer born 1883),England,,,Forward,1910,2,0,,,,,,
George Wall,England,,,Forward,1910,7,2,,,,,,
Francesco Cal&#xEC;,Italy,,,Defender,1910,2,0,,,,,,
Domenico Capello,Italy,,,Midfielder,1910,2,0,,,,,,
Pietro Lana,Italy,,1.66,Forward,1910,2,3,,,,,,
Tonny Kessler,Netherlands,,,,1910,3,1,,,,,,
Andrew Devine,Scotland,,,Forward,1910,1,1,,,,,,
Jimmy Hay,Scotland,,,Defender,1910,6,0,,,,,,
George Law (footballer),Scotland,,,Defender,1910,3,0,,,,,,
Francesco Cal&#xEC;,Switzerland,,,Defender,1910,2,0,,,,,,
Arvid Fagrell,Sweden,,,Forward,1910,2,0,,,,,,
Marius Hiller,Germany,,,Midfielder,1910.5,3,1,,,,,,
Willi Worpitzky,Germany,,,Forward,1910.5,9,5,,,,,,
Bert Freeman,England,,,Forward,1910.5,5,3,,,,,,
George Holley,England,,,Forward,1910.5,10,8,,,,,,
Oszk&#xE1;r Szendr&#x151;,Hungary,,,Defender,1910.5,13,0,,,,,,
Juan Domingo Brown,Argentina,,,,1911,36,2,,,,,,
Alfredo Peel,Argentina,,,,1911,4,0,,,,,,
Robert Merz,Austria,,,Forward,1911,13,5,,,,,,
Otto Reiser,Germany,,,Midfielder,1911,1,0,,,,,,
George Webb (footballer born 1888),England,,,Forward,1911,2,1,,,,,,
George Woodger,England,,,Forward,1911,1,0,,,,,,
Gyula B&#xED;r&#xF3;,Hungary,,,Forward,1911,36,3,,,,,,
Gustavo Carrer,Italy,,,Forward,1911,2,1,,,,,,
Tommy Tait (footballer born 1879),Scotland,,,Defender,1911,1,0,,,,,,
Max Breunig,Germany,,,Defender,1911.5,9,1,,,,,,
Billy Bradshaw (footballer),England,,,Midfielder,1911.5,4,0,,,,,,
Robert Evans (footballer born 1885),England,,,Midfielder,1911.5,4,1,,,,,,
Harold Fleming (footballer),England,,,Forward,1911.5,11,9,,,,,,
Giuseppe Rizzi,Italy,,1.67,Midfielder,1911.5,4,2,,,,,,
Alphonse Six,Belgium,,,Forward,1912,9,8,,,,,,
Gottfried Fuchs,Germany,,,,1912,6,14,,,,,,
Julius Hirsch,Germany,,,Midfielder,1912,7,4,,,,,,
Karl Wegele,Germany,,,Forward,1912,15,3,,,,,,
Frank Jefferis,England,,,Forward,1912,2,0,,,,,,
Jean Ducret,France,,,Midfielder,1912,20,3,,,,,,
&#xC9;tienne Jourde,France,,,Forward,1912,8,1,,,,,,
Angelo Binaschi,Italy,,,Defender,1912,9,0,,,,,,
Arturo Boiocchi,Italy,,,Forward,1912,6,2,,,,,,
Marco Sala,Italy,,1.7,Defender,1912,1,0,,,,,,
Attilio Trer&#xE8;,Italy,,1.67,Midfielder,1912,5,0,,,,,,
Pyotr Sorokin,Russia,,,Forward,1912,1,0,,,,,,
Leonid Smirnov (footballer),Russia,,,Forward,1912,2,0,,,,,,
Pyotr Petrovich Sokolov (soccer player),Russia,,,Defender,1912,4,0,,,,,,
Andrei Suvorov,Russia,,,Forward,1912,1,0,,,,,,
Nikolai Kynin,Russia,,,Midfielder,1912,2,0,,,,,,
Aleksei Uversky,Russia,,,Midfielder,1912,2,0,,,,,,
Walter Aitkenhead,Scotland,,,Forward,1912,1,2,,,,,,
Alex Bell,Scotland,,,Midfielder,1912,1,0,,,,,,
Donald Colman,Scotland,,,Defender,1912,4,0,,,,,,
David McLean (footballer born 1887),Scotland,,,Forward,1912,1,0,,,,,,
John McTavish (footballer born 1885),Scotland,,,Forward,1912,1,0,,,,,,
Cayetano Saporiti,Uruguay,,,Goalkeeper,1912,51,0,,,,,,
Jackie Mordue,England,,,Forward,1912.5,2,0,,,,,,
Albert Sturgess,England,,,Midfielder,1912.5,2,0,,,,,,
Gaston Barreau,France,,,Midfielder,1912.5,12,0,,,,,,
Antal V&#xE1;g&#xF3;,Hungary,,,Midfielder,1912.5,17,0,,,,,,
Aldo Cevenini,Italy,,,Forward,1912.5,11,4,,,,,,
Virgilio Fossati,Italy,,,Midfielder,1912.5,12,1,,,,,,
Andrei Akimov (footballer),Russia,,,Midfielder,1912.5,4,1,,,,,,
Nikita Khromov,Russia,,,Midfielder,1912.5,6,0,,,,,,
Willie Reid (footballer),Scotland,,,Forward,1912.5,8,10,,,,,,
John Harley (footballer),Uruguay,,,,1912.5,17,0,,,,,,
Sylvain Br&#xE9;bart,Belgium,,,Forward,1913,12,8,,,,,,
Fritz F&#xFC;rst,Germany,,,Forward,1913,1,0,,,,,,
Ludwig Hofmeister,Germany,,,Goalkeeper,1913,2,0,,,,,,
Johannes Schneider,Germany,,,Goalkeeper,1913,2,0,,,,,,
Bob Benson,England,,,Defender,1913,1,0,,,,,,
Tommy Boyle (footballer born 1886),England,,,Defender,1913,1,0,,,,,,
Tom Brittleton,England,,,Defender,1913,5,0,,,,,,
Hugh Moffat (footballer),England,,,Midfielder,1913,1,0,,,,,,
Ernald Scattergood,England,,,Goalkeeper,1913,1,0,,,,,,
George Utley,England,,,Defender,1913,1,0,,,,,,
F&#xE9;lix Romano,France,,,Midfielder,1913,1,0,,,,,,
Grigori Bogemsky,Russia,,,Forward,1913,1,0,,,,,,
Aleksei Karakosov,Russia,,,Forward,1913,1,,,,,,,
Jimmy Campbell (footballer born 1887),Scotland,,,Midfielder,1913,1,0,,,,,,
Tommy Logan,Scotland,,,Midfielder,1913,1,0,,,,,,
David Wilson (footballer born 1884),Scotland,,,Midfielder,1913,1,0,,,,,,
Sophus Nielsen,Denmark,,,Forward,1913.5,20,16,,,,,,
Francis Cuggy,England,,,Midfielder,1913.5,2,0,,,,,,
Harry Hampton (footballer born 1885),England,,,Forward,1913.5,4,2,,,,,,
Sam Hardy,England,,,Goalkeeper,1913.5,21,0,,,,,,
Eddie Latheron,England,,,Forward,1913.5,2,1,,,,,,
Jesse Pennington,England,,,Defender,1913.5,25,0,,,,,,
Gabriel Hanot,France,,,Defender,1913.5,12,3,,,,,,
Sergei Romanov (footballer),Russia,,,Forward,1913.5,3,0,,,,,,
Jimmy Croal,Scotland,,1.75,Forward,1913.5,3,0,,,,,,
Joe Donnachie,Scotland,,,Forward,1913.5,3,1,,,,,,
Nils Middelboe,Denmark,,,Midfielder,1914,15,7,,,,,,
Albert Bollmann,Germany,,,Midfielder,1914,1,0,,,,,,
Frank Buckley (footballer),England,,,Defender,1914,1,0,,,,,,
Harry Colclough,England,,,Defender,1914,1,0,,,,,,
Henry Martin (footballer),England,,,Forward,1914,1,0,,,,,,
Bobby McNeal,England,,,Midfielder,1914,2,0,,,,,,
Eddie Mosscrop,England,,,Forward,1914,2,0,,,,,,
Claudio Casanova,Italy,,,Defender,1914,1,0,,,,,,
Vladimir Lash,Russia,,,Midfielder,1914,2,0,,,,,,
Harry Anderson (footballer),Scotland,,,Midfielder,1914,1,0,,,,,,
Tommy Kelso,Scotland,,,Defender,1914,1,0,,,,,,
Peter Pursell,Scotland,,,Defender,1914,1,0,,,,,,
Juan Enrique Hayes,Argentina,,,Forward,1914.5,21,8,,,,,,
Hector Goetinck,Belgium,,,Midfielder,1914.5,17,2,,,,,,
Alberto Ohaco,Argentina,,,Forward,1915,13,7,,,,,,
Andy Ducat,England,,,Forward,1915,6,1,,,,,,
Gyula Feldmann,Hungary,,,Defender,1915,10,0,,,,,,
Jen&#x151; Konr&#xE1;d,Hungary,,,Defender,1915,1,0,,,,,,
Carlo Capra,Italy,,,Defender,1915,1,0,,,,,,
Heinz K&#xF6;rner,Austria,,,Forward,1915.5,7,0,,,,,,
Sophus Hansen,Denmark,,,Goalkeeper,1915.5,31,0,,,,,,
Adolf Kert&#xE9;sz,Hungary,,,Defender,1915.5,11,0,,,,,,
Guido Ara,Italy,,,,1915.5,13,1,,,,,,
Felice Berardo,Italy,,,Forward,1915.5,14,2,,,,,,
D&#xE9; Kessler,Netherlands,,,,1915.5,21,9,,,,,,
Wilf Low,Scotland,,,Midfielder,1915.5,5,0,,,,,,
Marius Hiller,Argentina,,,Midfielder,1916,2,4,,,,,,
Mimi Sodr&#xE9;,Brazil,,,Forward,1916,2,1,,,,,,
Joseph Hodkinson,England,,,Forward,1916,3,0,,,,,,
Billy Watson (footballer born 1890),England,,,Midfielder,1916,3,0,,,,,,
Imre Taussig,Hungary,,,Forward,1916,5,1,,,,,,
Sidney Pullen,Brazil,,,Forward,1916.5,3,0,,,,,,
George Elliott (English footballer),England,,,Forward,1916.5,3,0,,,,,,
Joe Smith (football forward born 1889),England,,,Forward,1916.5,5,1,,,,,,
Vilmos Kert&#xE9;sz,Hungary,,,Midfielder,1916.5,47,11,,,,,,
Imre Schlosser,Hungary,,,Forward,1916.5,68,59,,,,,,
Caleb Schylander,Sweden,,,Forward,1916.5,7,,,,,,,
Friedrich Kerr,Austria,,,Defender,1917,7,0,,,,,,
Alexander Popovic,Austria,,,Defender,1917,33,1,,,,,,
Louis Van Hege,Belgium,,1.68,Forward,1917,29,11,,,,,,
Fernand Wertz,Belgium,,,Forward,1917,5,1,,,,,,
Chico Netto,Brazil,,,Defender,1917,3,1,,,,,,
Lucien Gamblin,France,,,Midfielder,1917,17,0,,,,,,
Alfr&#xE9;d Schaffer,Hungary,,,,1917,15,17,,,,,,
Ernest Molles,Switzerland,,,Defender,1917,1,0,,,,,,
Poul Nielsen,Denmark,,,Forward,1917.5,38,52,,,,,,
Eduard Pendorf,Germany,,,Midfielder,1917.5,3,0,,,,,,
Renzo De Vecchi,Italy,,1.63,Defender,1917.5,43,0,,,,,,
Angelo Mattea,Italy,,,Midfielder,1917.5,5,1,,,,,,
Alfredo Foglino,Uruguay,,,Defender,1917.5,47,0,,,,,,
Henning Svensson,Sweden,,,,1917.5,20,0,,,,,,
Ferdinand Humenberger,Austria,,,,1918,2,0,,,,,,
Carlo Carcano,Italy,,74,Midfielder,1918,5,1,,,,,,
Alex Donaldson,Scotland,,,Forward,1918,6,1,,,,,,
Horacio Mu&#xF1;oz,Chile,,,Defender,1918.5,7,0,,,,,,
Charlie Buchan,England,,,Forward,1918.5,6,4,,,,,,
Zolt&#xE1;n Blum,Hungary,12,,Midfielder,1918.5,38,1,,,,,,
Istv&#xE1;n T&#xF3;th (footballer),Hungary,,,Forward,1918.5,19,8,,,,,,
Pedro Calomino,Argentina,,,Forward,1919,37,5,,,,,,
James Bagshaw,England,,,Defender,1919,1,0,,,,,,
Sid Bowser,England,,,Forward,1919,1,0,,,,,,
Robert Turnbull (footballer),England,,,Forward,1919,1,0,,,,,,
Raymond Dubly,France,,,Forward,1919,31,4,,,,,,
Albert Jourda,France,,,Midfielder,1919,7,0,,,,,,
Theo Brokmann,Netherlands,,1.76,Forward,1919,1,1,,,,,,
Andrew Wilson (footballer born 1896),Scotland,,,Forward,1919,2,4,,,,,,
&#xC1;ngel Romano,Uruguay,,,Forward,1919,69,28,,,,,,
Ferdinand Swatosch,Austria,,,Forward,1919.5,23,18,,,,,,
Arthur Friedenreich,Brazil,,1.7,Forward,1919.5,23,10,,,,,,
Neco,Brazil,,,Forward,1919.5,15,8,,,,,,
Carl Hansen (footballer),Denmark,,,Forward,1919.5,7,3,,,,,,
Jack Cock,England,,,Forward,1919.5,2,2,,,,,,
Willy Meisl,Austria,,,,1920,1,0,,,,,,
Am&#xED;lcar Barbuy,Brazil,,,Midfielder,1920,19,5,,,,,,
Otto Harder,Germany,,,Forward,1920,15,14,,,,,,
Fred Bullock,England,,,Defender,1920,1,0,,,,,,
Jack Mew,England,,,Goalkeeper,1920,1,0,,,,,,
Fred Morris (footballer born 1893),England,,,Forward,1920,2,1,,,,,,
Ferenc Plattk&#xF3;,Hungary,,,Goalkeeper,1920,6,0,,,,,,
J&#xF3;zsef Viola,Hungary,,,,1920,1,0,,,,,,
Ermanno Aebi,Italy,,,Forward,1920,2,3,,,,,,
Giuseppe Asti,Italy,,,Midfielder,1920,1,0,,,,,,
Emilio Badini,Italy,,,Midfielder,1920,2,1,,,,,,
Antonio Bruna,Italy,,,Defender,1920,5,0,,,,,,
Angelo Cameroni,Italy,,,Goalkeeper,1920,1,0,,,,,,
James Bowie (footballer),Scotland,,,Midfielder,1920,2,0,,,,,,
Andy Cunningham (footballer),Scotland,,,Forward,1920,10,1,,,,,,
Alex Graham (footballer),Scotland,,,Midfielder,1920,1,0,,,,,,
Rafael Moreno Aranzadi,Spain,,1.54,Forward,1920,5,1,,,,,,
Julio Libonatti,Argentina,,,Forward,1920.5,15,8,,,,,,
Otto Larsen,Denmark,,,Midfielder,1920.5,10,0,,,,,,
Frank Barson,England,,,Defender,1920.5,1,0,,,,,,
Joe Smith (footballer born 1890),England,,,Defender,1920.5,2,0,,,,,,
Cesare Lovati,Italy,,1.71,Midfielder,1920.5,6,0,,,,,,
Henk Hordijk,Netherlands,,,Midfielder,1920.5,9,0,,,,,,
Wout Buitenweg,Netherlands,,,Forward,1920.5,11,14,,,,,,
Boelie Kessler,Netherlands,,,,1920.5,9,2,,,,,,
Georges Kramer,Switzerland,,,Forward,1920.5,5,1,,,,,,
Non&#xF4; (footballer),Brazil,,,Forward,1921,1,0,,,,,,
Jack Bamber,England,,,Defender,1921,1,0,,,,,,
Bert Bliss,England,,,Forward,1921,1,0,,,,,,
Jackie Carr (footballer born 1892),England,,,Midfielder,1921,2,0,,,,,,
Bert Coleman,England,,,Goalkeeper,1921,1,0,,,,,,
Jack Fort,England,,,Defender,1921,1,0,,,,,,
Harold Gough,England,,,Goalkeeper,1921,1,0,,,,,,
George Harrison (footballer),England,,,Forward,1921,2,0,,,,,,
Archibald Rawlings,England,,,Midfielder,1921,1,0,,,,,,
Albert Read (footballer),England,,,Midfielder,1921,1,0,,,,,,
Ernie Simms,England,,,Forward,1921,1,0,,,,,,
Eug&#xE8;ne Langenove,France,,,Defender,1921,2,0,,,,,,
K&#xE1;lm&#xE1;n Konr&#xE1;d,Hungary,,,Forward,1921,12,2,,,,,,
Ercole Carzino,Italy,,,Midfielder,1921,1,0,,,,,,
Artur Augusto,Portugal,,,Forward,1921,1,0,,,,,,
Jos&#xE9; Gralha,Portugal,,,Forward,1921,1,0,,,,,,
C&#xE2;ndido de Oliveira,Portugal,,,Midfielder,1921,,,,,,,,
Ant&#xF3;nio Ribeiro dos Reis,Portugal,,,,1921,1,0,,,,,,
Dod Brewster,Scotland,,,Midfielder,1921,1,0,,,,,,
Kenny Campbell,Scotland,,,Goalkeeper,1921,8,0,,,,,,
Johnny Crosbie,Scotland,,,Forward,1921,2,0,,,,,,
Stewart Davidson,Scotland,53,,Midfielder,1921,1,0,,,,,,
Jock Ewart,Scotland,,,Goalkeeper,1921,1,0,,,,,,
Alex McNab,Scotland,,,Forward,1921,2,0,,,,,,
Charlie Pringle,Scotland,,,Midfielder,1921,1,0,,,,,,
Isabelino Grad&#xED;n,Uruguay,,,Forward,1921,24,10,,,,,,
Eduardo Arbide,Spain,,,Forward,1921,1,0,,,,,,
Carl Riegel,Germany,,,Midfielder,1921.5,7,0,,,,,,
Jerry Dawson (footballer born 1888),England,,,Goalkeeper,1921.5,2,0,,,,,,
Bert Smith (footballer born 1892),England,,,Midfielder,1921.5,2,0,,,,,,
J&#xF3;zsef Szab&#xF3; (Hungarian footballer),Hungary,,,Defender,1921.5,6,0,,,,,,
Augusto Bergamino,Italy,,,Midfielder,1921.5,5,0,,,,,,
Ernesto Bonino (footballer),Italy,,,Forward,1921.5,2,0,,,,,,
Guglielmo Brezzi,Italy,,,Forward,1921.5,8,5,,,,,,
Enrico Carzino,Italy,,,Goalkeeper,1921.5,0,0,,,,,,
Fons Pelser,Netherlands,,,Defender,1921.5,6,0,,,,,,
V&#xED;tor C&#xE2;ndido Gon&#xE7;alves,Portugal,,,Midfielder,1921.5,2,0,,,,,,
Carlos Guimar&#xE3;es,Portugal,,,Goalkeeper,1921.5,2,0,,,,,,
Am&#xE9;rico Tesoriere,Argentina,,,Goalkeeper,1922,38,0,,,,,,
Max Gold,Austria,,,Defender,1922,2,0,,,,,,
Rudolf Rupec,Austria,,,Defender,1922,9,0,,,,,,
Agostinho Fortes Filho,Brazil,,,Midfielder,1922,13,0,,,,,,
Leonhard Seiderer,Germany,,,Forward,1922,8,5,,,,,,
Adolf Anier,Estonia,,,,1922,1,0,,,,,,
Harry Chambers,England,,,Forward,1922,8,5,,,,,,
Sam Chedgzoy,England,,,Forward,1922,8,0,,,,,,
Teddy Davison,England,,,Goalkeeper,1922,1,0,,,,,,
Bill Rawlings,England,,,Forward,1922,2,0,,,,,,
Jack Silcock,England,,,Defender,1922,3,0,,,,,,
Jean Batmale,France,,,Midfielder,1922,6,0,,,,,,
J&#xF3;zsef Braun,Hungary,,,Midfielder,1922,27,11,,,,,,
J&#xF3;zsef Eisenhoffer,Hungary,,,Forward,1922,8,7,,,,,,
Gy&#xF6;rgy Orth,Hungary,,,Forward,1922,32,13,,,,,,
S&#xE1;ndor Peics,Hungary,,,Midfielder,1922,1,0,,,,,,
Ern&#x151; Schwarz,Hungary,,,Forward,1922,2,2,,,,,,
Luigi Cevenini,Italy,,,Forward,1922,29,11,,,,,,
Alfredo Torres Pereira,Portugal,,,Forward,1922,1,0,,,,,,
Jimmy Blair (footballer born 1888),Scotland,,,Defender,1922,8,0,,,,,,
William Collier (footballer),Scotland,,,Midfielder,1922,1,0,,,,,,
Putte Kock,Sweden,,,left wing (football),1922,37,12,,,,,,
Domingo Acedo,Spain,,,Forward,1922,11,1,,,,,,
Paulino Alc&#xE1;ntara,Spain,,1.7,Forward,1922,5,6,,,,,,
Karl Kanh&#xE4;user,Austria,,,Forward,1922.5,5,3,,,,,,
Josef Uridil,Austria,,,Forward,1922.5,8,8,,,,,,
Karl H&#xF6;ger,Germany,,,Forward,1922.5,4,0,,,,,,
Hans Sutor,Germany,,,Forward,1922.5,12,2,,,,,,
Percy Barton,England,,,Midfielder,1922.5,7,0,,,,,,
Jack Harrow,England,,,Defender,1922.5,2,0,,,,,,
David Mercer (footballer),England,,,Forward,1922.5,2,1,,,,,,
Fred Titmuss,England,,,Defender,1922.5,2,0,,,,,,
Owen Williams (footballer),England,,,Forward,1922.5,2,0,,,,,,
George Wilson (English footballer),England,,,Midfielder,1922.5,12,0,,,,,,
B&#xE9;la Guttmann,Hungary,,,Midfielder,1922.5,4,1,,,,,,
Rudolf Jeny,Hungary,,,,1922.5,20,3,,,,,,
Gy&#xF6;rgy Moln&#xE1;r,Hungary,,,Forward,1922.5,27,11,,,,,,
Rudolph Nickolsburger,Hungary,,,Forward,1922.5,2,0,,,,,,
&#xC1;rp&#xE1;d Weisz,Hungary,,,,1922.5,7,0,,,,,,
Luigi Burlando,Italy,,,Midfielder,1922.5,19,1,,,,,,
F&#xE9;lix Romano,Italy,,,Midfielder,1922.5,5,0,,,,,,
Evert van Linge,Netherlands,,,,1922.5,13,3,,,,,,
Fernando Jesus,Portugal,,,Midfielder,1922.5,2,0,,,,,,
Henrique Portela,Portugal,,,Midfielder,1922.5,2,0,,,,,,
Alberto Rio,Portugal,,,Forward,1922.5,2,0,,,,,,
Zdzis&#x142;aw Stycze&#x144;,Poland,,,Midfielder,1922.5,5,0,,,,,,
Joe Cassidy (footballer born 1896),Scotland,,,Forward,1922.5,4,1,,,,,,
Jack Marshall (soccer),Scotland,,,Defender,1922.5,7,0,,,,,,
Jock White,Scotland,,,Forward,1922.5,2,0,,,,,,
Ces&#xE1;reo Onzari,Argentina,,,Midfielder,1923,15,5,,,,,,
Sepp Herberger,Germany,,,Forward,1923,3,2,,,,,,
Luitpold Popp,Germany,,,Defender,1923,5,1,,,,,,
Wolfgang Strobel,Germany,,,Forward,1923,4,0,,,,,,
Jack Alderson,England,,,Goalkeeper,1923,1,0,,,,,,
Billy Brown (footballer born 1900),England,,,,1923,1,1,,,,,,
Frank Hartley (footballer),England,,,Forward,1923,1,0,,,,,,
Benjamin Howard Baker,England,,,Goalkeeper,1923,2,0,,,,,,
Harry Jones (footballer born 1891),England,,,Defender,1923,1,0,,,,,,
Tommy Meehan,England,,,Midfielder,1923,1,,,,,,,
Billy Moore (English footballer),England,,,Forward,1923,1,2,,,,,,
James Moore (footballer born 1889),England,,,Forward,1923,1,1,,,,,,
Harry Pantling,England,,,Defender,1923,1,0,,,,,,
Seth Plum,England,,,Midfielder,1923,1,0,,,,,,
Jimmy Seed,England,,,Forward,1923,5,1,,,,,,
Jack Tresadern,England,,,Defender,1923,2,0,,,,,,
Ernest Williamson,England,,,Goalkeeper,1923,2,0,,,,,,
Yoshio Fujiwara,Japan,,,Forward,1923,1,0,,,,,,
Fukusaburo Harada,Japan,,,Goalkeeper,1923,2,0,,,,,,
Toshio Hirabayashi,Japan,,,Midfielder,1923,2,0,,,,,,
Usaburo Hidaka,Japan,,,Defender,1923,2,0,,,,,,
Shumpei Inoue,Japan,,,Forward,1923,1,0,,,,,,
Kikuzo Kisaka,Japan,,,Forward,1923,2,0,,,,,,
Shizuo Miyama,Japan,,,Defender,1923,2,0,,,,,,
Setsu Sawagata,Japan,,,Midfielder,1923,2,0,,,,,,
Naoemon Shimizu,Japan,,,Forward,1923,2,1,,,,,,
Ryuzo Shimizu,Japan,,,Forward,1923,2,1,,,,,,
Fernando Ant&#xF3;nio,Portugal,,,Forward,1923,1,0,,,,,,
Jesus Mun&#xF5;z Crespo,Portugal,,,Forward,1923,1,0,,,,,,
Jo&#xE3;o Francisco Maia,Portugal,,,Forward,1923,4,0,,,,,,
Joaquim Filipe dos Santos,Portugal,,,Midfielder,1923,1,0,,,,,,
Jos&#xE9; Balbino da Silva,Portugal,,,Forward,1923,1,0,,,,,,
Denis Lawson (footballer),Scotland,,,Forward,1923,1,0,,,,,,
Neil McBain,Scotland,,,Defender,1923,3,0,,,,,,
David Steele (footballer),Scotland,,,Midfielder,1923,3,0,,,,,,
Alex Troup,Scotland,,,Midfielder,1923,5,0,,,,,,
Carl Hartmann,Germany,,,Forward,1923.5,4,2,,,,,,
Heinrich Tr&#xE4;g,Germany,,,Forward,1923.5,6,1,,,,,,
Harald Kaarmann,Estonia,,,Midfielder,1923.5,17,0,,,,,,
Friedrich Karm,Estonia,,,,1923.5,13,9,,,,,,
Harry Bedford (footballer),England,,,Forward,1923.5,2,1,,,,,,
Jimmy Dimmock,England,,,Forward,1923.5,3,0,,,,,,
Tommy Roberts,England,,,Forward,1923.5,2,2,,,,,,
Maurice Cottenet,France,,,Goalkeeper,1923.5,18,0,,,,,,
K&#xE1;roly Fogl,Hungary,,,Defender,1923.5,51,2,,,,,,
Gastone Baldi,Italy,,,Defender,1923.5,3,0,,,,,,
Alberto Augusto,Portugal,,,Forward,1923.5,4,1,,,,,,
Jaime Gon&#xE7;alves,Portugal,,,Forward,1923.5,2,1,,,,,,
Luis Ravaschino,Argentina,,,Forward,1924,2,0,,,,,,
Gabino Sosa,Argentina,,,Midfielder,1924,15,6,,,,,,
Max Gr&#xFC;nwald,Austria,,,Forward,1924,1,2,,,,,,
Moritz H&#xE4;usler,Austria,,,Forward,1924,7,2,,,,,,
Egon Pollak,Austria,,,Defender,1924,1,0,,,,,,
Willy Ascherl,Germany,,,Forward,1924,1,0,,,,,,
Andreas Franz,Germany,,,Forward,1924,10,4,,,,,,
Hans Lang (footballer),Germany,,,Midfielder,1924,10,0,,,,,,
George Armitage (footballer),England,,,Defender,1924,1,0,,,,,,
William Ashurst (footballer),England,,,Defender,1924,5,0,,,,,,
George Blackburn (footballer born 1899),England,,,,1924,1,0,,,,,,
Jack Butler (footballer born 1894),England,,,Midfielder,1924,1,0,,,,,,
Billy Butler (footballer),England,,,Midfielder,1924,1,0,,,,,,
Fred Ewer,England,,,Midfielder,1924,2,0,,,,,,
Harry Hardy,England,,,Goalkeeper,1924,1,0,,,,,,
Bob Kelly (footballer),England,,,Forward,1924,14,8,,,,,,
Tommy Magee,England,,,Midfielder,1924,5,0,,,,,,
James Mitchell (footballer),England,,,Goalkeeper,1924,1,0,,,,,,
Frank Osborne (footballer),England,,,Forward,1924,4,3,,,,,,
Clem Stephenson,England,,,Forward,1924,1,0,,,,,,
Ted Taylor (footballer),England,,,Goalkeeper,1924,8,0,,,,,,
George Thornewell,England,,,Forward,1924,4,1,,,,,,
Fred Tunstall,England,,,Forward,1924,7,0,,,,,,
Richard York,England,,,Midfielder,1924,2,0,,,,,,
Shiro Azumi,Japan,,,Forward,1924,3,0,,,,,,
Kiyoo Kanda,Japan,,,Midfielder,1924,4,0,,,,,,
Giuseppe Aliberti,Italy,,,Midfielder,1924,11,0,,,,,,
Mario Ardissone,Italy,,,Midfielder,1924,2,0,,,,,,
Francesco Borello,Italy,,,Forward,1924,1,0,,,,,,
Edoardo Catto,Italy,,,Forward,1924,1,0,,,,,,
Giovanni Vincenzi,Italy,,1.74,Defender,1924,1,0,,,,,,
Adriaan Koonings,Netherlands,,,Forward,1924,1,0,,,,,,
Joaquim Rodrigues Ferreira,Portugal,,,Defender,1924,2,0,,,,,,
Francisco Vieira,Portugal,,,Goalkeeper,1924,3,0,,,,,,
Wawrzyniec Cyl,Poland,,,Defender,1924,4,0,,,,,,
Aleksandr Shpakovsky,Soviet Union,,,Forward,1924,1,1,,,,,,
Pyotr Yezhov,Soviet Union,,,Defender,1924,1,0,,,,,,
Billy Cowan (footballer),Scotland,,,Forward,1924,1,0,,,,,,
Neil Harris (footballer born 1894),Scotland,,,Forward,1924,1,0,,,,,,
Albert Str&#xF6;ck,Romania,,,Forward,1924,8,2,,,,,,
Ferm&#xED;n Uriarte,Uruguay,,,,1924,14,0,,,,,,
Ludovico Bidoglio,Argentina,,,Defender,1924.5,34,0,,,,,,
Ulises Poirier,Chile,,,Defender,1924.5,16,0,,,,,,
Hermann Lux (footballer),Germany,,,,1924.5,3,0,,,,,,
Henry M&#xFC;ller,Germany,,,Defender,1924.5,9,0,,,,,,
Paul P&#xF6;mpner,Germany,,,Forward,1924.5,6,3,,,,,,
August Lass,Estonia,,,Goalkeeper,1924.5,21,0,,,,,,
Arthur Dorrell,England,,,Midfielder,1924.5,4,1,,,,,,
Charlie Spencer,England,,,Defender,1924.5,2,0,,,,,,
Thomas Urwin (footballer),England,,,Forward,1924.5,4,0,,,,,,
Leopoldo Conti,Italy,,,Forward,1924.5,31,8,,,,,,
Harry D&#xE9;nis,Netherlands,,,Defender,1924.5,56,0,,,,,,
Gerrit Visser,Netherlands,,,Forward,1924.5,7,1,,,,,,
J&#xF3;zef Ka&#x142;u&#x17C;a,Poland,,1.66,Forward,1924.5,16,7,,,,,,
Mikhail Butusov,Soviet Union,,,Forward,1924.5,2,3,,,,,,
Fyodor Selin,Soviet Union,,,Forward,1924.5,2,1,,,,,,
Mikhail Rushchinsky,Soviet Union,,,Defender,1924.5,2,0,,,,,,
Bill Harper,Scotland,,,Goalkeeper,1924.5,11,0,,,,,,
Philip McCloy,Scotland,,,Defender,1924.5,2,0,,,,,,
Jimmy McMullan,Scotland,,,Midfielder,1924.5,16,0,,,,,,
H&#xE9;ctor Scarone,Uruguay,,1.69,Forward,1924.5,52,31,,,,,,
&#xC1;ngel M&#xE9;dici,Argentina,,,Defender,1925,34,0,,,,,,
S&#xE1;ndor Nemes,Austria,,,Forward,1925,2,0,,,,,,
Maurice Gillis,Belgium,,,Forward,1925,23,8,,,,,,
David Arellano,Chile,,1.74,Forward,1925,6,7,,,,,,
